scenario_id,period_id,election_year,start_inclusive,end_exclusive,party_set
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-018,2014,2018-04-02,2018-04-06,DEM;PMDB;PP;PRB;PSD;PSDB;PTB;PV
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-019,2014,2018-04-06,2018-07-05,PMDB;PP;PRB;PSD;PSDB;PTB;PV
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-020,2014,2018-07-05,2019-01-01,PMDB;PP;PRB;PSD;PSDB;PV
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-021,2018,2019-01-01,2020-02-11,DEM;MDB;NOVO;PP;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-022,2018,2020-02-11,2020-02-18,DEM;MDB;NOVO;PP;PSDB;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-023,2018,2020-02-18,2020-04-16,DEM;NOVO;PP;PSDB;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-024,2018,2020-04-16,2020-04-17,DEM;MDB;NOVO;PP;PSDB;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-025,2018,2020-04-17,2020-05-07,DEM;NOVO;PP;PSDB;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-026,2018,2020-05-07,2020-06-17,DEM;PP;PSDB;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-027,2018,2020-06-17,2020-06-18,DEM;PP;PSD;PSDB;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-028,2018,2020-06-18,2020-09-19,DEM;PP;PSD;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-029,2018,2020-09-19,2020-12-09,DEM;PSD;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-030,2018,2020-12-09,2021-02-12,DEM;PSC;PSD;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-031,2018,2021-02-12,2021-03-31,DEM;PRB;PSC;PSD;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-032,2018,2021-03-31,2021-07-28,DEM;PR;PRB;PSC;PSD;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-033,2018,2021-07-28,2022-03-24,DEM;PP;PR;PRB;PSC;PSD;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-034,2018,2022-03-24,2022-03-27,DEM;PP;PR;PRB;PSC;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-035,2018,2022-03-27,2022-03-28,PP;PR;PSC
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-036,2018,2022-03-28,2022-03-30,PP;PR;PRB;PSC
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-037,2018,2022-03-30,2022-03-31,PP;PR;PRB
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-038,2018,2022-03-31,2022-05-11,PP;PRB;PSD
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-039,2018,2022-05-11,2022-12-30,DEM;PP;PRB;PSD;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-040,2018,2022-12-30,2023-01-01,DEM;NOVO;PRB;PSD;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-041,2022,2023-01-01,2023-09-13,MDB;PCdoB;PDT;PSB;PSD;PSOL;PT;REDE;UNIÃO
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-042,2022,2023-09-13,2023-12-04,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-043,2022,2023-12-04,2023-12-06,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-044,2022,2023-12-06,2024-12-03,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-045,2022,2024-12-03,2024-12-06,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-046,2022,2024-12-06,2025-10-08,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-047,2022,2025-10-08,2025-10-09,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-048,2022,2025-10-09,2025-11-13,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-049,2022,2025-11-13,2025-11-17,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-050,2022,2025-11-17,2025-12-08,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-051,2022,2025-12-08,2025-12-19,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-052,2022,2025-12-19,2025-12-23,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-0/UNAFFILIATED,CV5-053,2022,2025-12-23,2026-03-20,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-001,2014,2015-01-01,2015-03-19,PCdoB;PDT;PMDB;PP;PR;PRB;PROS;PSD;PT;PTB
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-002,2014,2015-03-19,2016-03-18,PCdoB;PDT;PMDB;PP;PR;PRB;PSD;PT;PTB
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-003,2014,2016-03-18,2016-03-31,PCdoB;PDT;PMDB;PP;PR;PROS;PSD;PT;PTB
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-004,2014,2016-03-31,2016-04-14,PCdoB;PDT;PMDB;PP;PR;PSD;PT;PTB
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-005,2014,2016-04-14,2016-04-19,PCdoB;PDT;PMDB;PR;PSD;PT;PTB
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-006,2014,2016-04-19,2016-05-12,PCdoB;PDT;PMDB;PR;PT;PTB
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-007,2014,2016-05-12,2016-10-10,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-008,2014,2016-10-10,2016-10-11,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-009,2014,2016-10-11,2016-10-25,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-010,2014,2016-10-25,2016-10-26,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-011,2014,2016-10-26,2017-04-26,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-012,2014,2017-04-26,2017-04-27,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-013,2014,2017-04-27,2017-08-02,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-014,2014,2017-08-02,2017-08-03,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-015,2014,2017-08-03,2017-10-18,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-016,2014,2017-10-18,2018-03-21,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-017,2014,2018-03-21,2018-04-02,DEM;PMDB;PP;PR;PRB;PSD;PSDB;PTB;PV
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-018,2014,2018-04-02,2018-04-06,DEM;PMDB;PP;PRB;PSD;PSDB;PTB;PV
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-019,2014,2018-04-06,2018-07-05,PMDB;PP;PRB;PSD;PSDB;PTB;PV
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-020,2014,2018-07-05,2019-01-01,PMDB;PP;PRB;PSD;PSDB;PV
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-021,2018,2019-01-01,2020-02-11,DEM;MDB;NOVO;PP;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-022,2018,2020-02-11,2020-02-18,DEM;MDB;NOVO;PP;PSDB;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-023,2018,2020-02-18,2020-04-16,DEM;NOVO;PP;PSDB;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-024,2018,2020-04-16,2020-04-17,DEM;MDB;NOVO;PP;PSDB;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-025,2018,2020-04-17,2020-05-07,DEM;NOVO;PP;PSDB;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-026,2018,2020-05-07,2020-06-17,DEM;PP;PSDB;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-027,2018,2020-06-17,2020-06-18,DEM;PP;PSD;PSDB;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-028,2018,2020-06-18,2020-09-19,DEM;PP;PSD;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-029,2018,2020-09-19,2020-12-09,DEM;PSD;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-030,2018,2020-12-09,2021-02-12,DEM;PSC;PSD;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-031,2018,2021-02-12,2021-03-31,DEM;PRB;PSC;PSD;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-032,2018,2021-03-31,2021-07-28,DEM;PR;PRB;PSC;PSD;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-033,2018,2021-07-28,2022-03-24,DEM;PP;PR;PRB;PSC;PSD;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-034,2018,2022-03-24,2022-03-27,DEM;PP;PR;PRB;PSC;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-035,2018,2022-03-27,2022-03-28,PP;PR;PSC
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-036,2018,2022-03-28,2022-03-30,PP;PR;PRB;PSC
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-037,2018,2022-03-30,2022-03-31,PP;PR;PRB
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-038,2018,2022-03-31,2022-05-11,PP;PRB;PSD
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-039,2018,2022-05-11,2022-12-30,DEM;PP;PRB;PSD;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-040,2018,2022-12-30,2023-01-01,DEM;NOVO;PRB;PSD;PSL
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-041,2022,2023-01-01,2023-09-13,MDB;PCdoB;PDT;PSB;PSD;PSOL;PT;REDE;UNIÃO
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-042,2022,2023-09-13,2023-12-04,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-043,2022,2023-12-04,2023-12-06,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-044,2022,2023-12-06,2024-12-03,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-045,2022,2024-12-03,2024-12-06,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-046,2022,2024-12-06,2025-10-08,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-047,2022,2025-10-08,2025-10-09,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-048,2022,2025-10-09,2025-11-13,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-049,2022,2025-11-13,2025-11-17,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-050,2022,2025-11-17,2025-12-08,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-051,2022,2025-12-08,2025-12-19,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-052,2022,2025-12-19,2025-12-23,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS
affiliation-C074-carlos-henrique-sobral-2023@service-C073-vacancy-3/UNAFFILIATED,CV5-053,2022,2025-12-23,2026-03-20,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-001,2014,2015-01-01,2015-03-19,PCdoB;PDT;PMDB;PP;PR;PRB;PROS;PSD;PT;PTB
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-002,2014,2015-03-19,2016-03-18,PCdoB;PDT;PMDB;PP;PR;PRB;PSD;PT;PTB
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-003,2014,2016-03-18,2016-03-31,PCdoB;PDT;PMDB;PP;PR;PROS;PSD;PT;PTB
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-004,2014,2016-03-31,2016-04-14,PCdoB;PDT;PMDB;PP;PR;PSD;PT;PTB
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-005,2014,2016-04-14,2016-04-19,PCdoB;PDT;PMDB;PR;PSD;PT;PTB
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-006,2014,2016-04-19,2016-05-12,PCdoB;PDT;PMDB;PR;PT;PTB
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-007,2014,2016-05-12,2016-10-10,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-008,2014,2016-10-10,2016-10-11,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-009,2014,2016-10-11,2016-10-25,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-010,2014,2016-10-25,2016-10-26,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-011,2014,2016-10-26,2017-04-26,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-012,2014,2017-04-26,2017-04-27,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-013,2014,2017-04-27,2017-08-02,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-014,2014,2017-08-02,2017-08-03,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-015,2014,2017-08-03,2017-10-18,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-016,2014,2017-10-18,2018-03-21,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-017,2014,2018-03-21,2018-04-02,DEM;PMDB;PP;PR;PRB;PSD;PSDB;PTB;PV
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-018,2014,2018-04-02,2018-04-06,DEM;PMDB;PP;PRB;PSD;PSDB;PTB;PV
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-019,2014,2018-04-06,2018-07-05,PMDB;PP;PRB;PSD;PSDB;PTB;PV
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-020,2014,2018-07-05,2019-01-01,PMDB;PP;PRB;PSD;PSDB;PV
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-021,2018,2019-01-01,2020-02-11,DEM;MDB;NOVO;PP;PSL
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-022,2018,2020-02-11,2020-02-18,DEM;MDB;NOVO;PP;PSDB;PSL
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-023,2018,2020-02-18,2020-04-16,DEM;NOVO;PP;PSDB;PSL
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-024,2018,2020-04-16,2020-04-17,DEM;MDB;NOVO;PP;PSDB;PSL
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-025,2018,2020-04-17,2020-05-07,DEM;NOVO;PP;PSDB;PSL
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-026,2018,2020-05-07,2020-06-17,DEM;PP;PSDB;PSL
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-027,2018,2020-06-17,2020-06-18,DEM;PP;PSD;PSDB;PSL
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-028,2018,2020-06-18,2020-09-19,DEM;PP;PSD;PSL
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-029,2018,2020-09-19,2020-12-09,DEM;PSD;PSL
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-030,2018,2020-12-09,2021-02-12,DEM;PSC;PSD;PSL
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-031,2018,2021-02-12,2021-03-31,DEM;PRB;PSC;PSD;PSL
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-032,2018,2021-03-31,2021-07-28,DEM;PR;PRB;PSC;PSD;PSL
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-033,2018,2021-07-28,2022-03-24,DEM;PP;PR;PRB;PSC;PSD;PSL
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-034,2018,2022-03-24,2022-03-27,DEM;PP;PR;PRB;PSC;PSL
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-035,2018,2022-03-27,2022-03-28,PP;PR;PSC
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-036,2018,2022-03-28,2022-03-30,PP;PR;PRB;PSC
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-037,2018,2022-03-30,2022-03-31,PP;PR;PRB
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-038,2018,2022-03-31,2022-05-11,PP;PRB;PSD
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-039,2018,2022-05-11,2022-12-30,DEM;PP;PRB;PSD;PSL
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-040,2018,2022-12-30,2023-01-01,DEM;NOVO;PRB;PSD;PSL
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-041,2022,2023-01-01,2023-09-13,MDB;PCdoB;PDT;PSB;PSD;PSOL;PT;REDE;UNIÃO
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-042,2022,2023-09-13,2023-12-04,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-043,2022,2023-12-04,2023-12-06,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-044,2022,2023-12-06,2024-12-03,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-045,2022,2024-12-03,2024-12-06,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-046,2022,2024-12-06,2025-10-08,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-047,2022,2025-10-08,2025-10-09,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-048,2022,2025-10-09,2025-11-13,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-049,2022,2025-11-13,2025-11-17,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-050,2022,2025-11-17,2025-12-08,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32/UNAFFILIATED,CV5-051,2022,2025-12-08,2025-12-19,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS
